Military expenditure (% of GDP),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Mauritania,4.489750716,3.961136807,3.940916634,3.489564861,2.689073176,2.412569111,2.240856718,2.260151894,2.626337998,2.967262381,2.095058511,2.675280102,3.503329238,4.623224011,3.155824288,4.859178841,4.702417272,3.588022524,3.034482759,,3.436520667,3.796583764
Mauritius,0.218723408,0.288802926,0.347363083,0.366751638,0.354723557,0.329907357,0.333304309,0.333111892,0.293578476,0.233627223,0.202915781,0.210961445,0.204505371,0.198265281,0.199526824,0.194221019,0.171415191,0.173187437,0.166240551,0.154551642,0.164597096,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.512364442,0.494299095,0.48288158,0.508666922,0.550058776,0.577218855,0.684996869,0.597468804,0.620022417,0.596328472,0.588999849,0.604348962,0.571544406,0.569085909,0.535750142,0.463405442,0.411833562,0.426590139,0.428561845,0.466060406,0.453230403,0.544320153
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,0.532674345,0.774784644,0.925968813,0.90668923,0.902777091,0.647425631,0.51129823,0.3951448,0.40259686,0.419846587,0.416381264,0.362140383,0.401042509,0.482634466,0.516567876,0.608694526,0.474659827
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,9.361947199,7.921050141,5.656951536,4.696027415,2.503277148,2.128458893,2.085691527,1.73501793,1.832778674,1.773524992,2.049196875,1.990174937,2.227853096,1.978262169,1.986578663,1.680293462,1.528324885,1.292066487,1.244484157,1.439273907,,
Montenegro,,,,,,,,,,,,,,,,,,,1.968448974,1.488546585,1.575047616,1.372038
Morocco,4.132142969,4.335564884,4.142875401,4.125673996,4.318033522,4.67051409,4.498023254,4.359216477,3.949711248,4.192656772,3.610442655,2.969692147,2.320650972,3.89749579,3.649090983,3.651411573,3.40227518,3.412301797,3.251960703,3.201601937,3.313382004,3.343493533
Mozambique,3.050202482,3.416834709,3.367648371,2.612034072,2.968445425,2.870885304,3.303496255,1.460482275,1.111682629,1.102740226,1.139211065,1.245870026,1.28445732,1.242171794,1.273635923,1.281395659,1.362418025,0.946562014,0.809468781,0.853867035,0.848295602,0.881258975
Myanmar,2.140524108,2.959106651,3.396046107,3.170730141,3.354521969,3.52297273,3.541226137,3.684791039,3.493396298,2.665364906,2.314235024,1.994548742,2.305372321,1.800042384,1.298874451,,,,,,,
Namibia,,,,5.812263877,4.386506858,2.461836164,1.749372131,1.951833779,1.905269469,2.304340039,2.320506679,3.123187004,2.363133641,2.72801703,2.619249224,2.624383444,2.528175449,2.644173506,2.491300807,2.586942865,2.97229015,3.251928514
Nepal,1.084440746,1.106767187,1.077202754,1.066227252,1.052291074,1.02514771,0.973041872,0.941713243,0.900716315,0.880886091,0.92705546,0.947268709,0.962085758,1.179016473,1.447622447,1.592341807,1.793203155,1.929210807,1.749241272,1.54659987,1.58296483,1.568627859
Netherlands,2.773488483,2.674170673,2.516704152,2.388732394,2.351108278,2.154246358,2.03242222,1.912134206,1.872996513,1.769533978,1.697823784,1.707695375,1.550866112,1.547581025,1.536712137,1.552380253,1.537509365,1.49842133,1.507730241,1.474860374,1.400946159,1.532423256
