Births attended by skilled health staff (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,43.2,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,99.7,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,99.5,,99.5,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,99.8,,99.8,99.9,99.9,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,85,,,,,,,,70.1,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,,,24.8,,,,33,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,84.4,,,,,91.2,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09999847,,,,,,94.1,,,,,,,96,,,,,,,98.5,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,86.3,,,,,,56.9,87,,,,,,49.2,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,80,95,,,,84.5,,90,,90,,89.8,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,70,,74,,,,74.3,69,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9,,,,,,,,,70,,89.7,,93,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,71.1,,,,,83.4,,88.4,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,46.7,,,43.8,,,,,,43.4,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,99.3,,,,,,97.3,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,23.6,18.4,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.29999924,,,,,,,,,,50.5,,48.6,,,60.8,,,62,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,95.3,95,,,98,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.90000153,,,,,,,,99,,99,,99.1,96,99.5,96.6,99.7,99.6,,97.8,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,80.5,,,,,89.9,,,,,,94.6,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9,,,,,80.6,,,,,83,,,,,91.3,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,,,97.2,,,,,,99.5,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29999924,,,,,,37.8,,,,,,39,,,,,41.9,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,99.9,,,99.9,,,99.8,,98.7,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,100,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,99,,,,99,,99.3,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,99.6,,,99.4,,99.3,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,95.6,,,,,,99.9,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,89.1,,,,88,,,,88,,,,74,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,,,94,,,95,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,,,68.3,,85,,90,,87.7,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,98.5,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,,,,97.4,,,,,97,98.9,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,21.6,,,,,,26.8,,,35.7,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,,,46.5,,,47.1,,,43.4,,,,,46.5,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.59999847,,,,,,69.2,,,,,72.5,,,,,,,68.5,,,
